lookup,year,age,brood,river_spawners
19812,1983,2,1981,NA
19822,1984,2,1982,44848.69496
19813,1984,3,1981,40685.33645
19804,1984,4,1980,70320.18911
19795,1984,5,1979,10610.11601
19832,1985,2,1983,8461.53782
19823,1985,3,1982,54053.57697
19814,1985,4,1981,111473.8389
19805,1985,5,1980,9311.629366
19842,1986,2,1984,6818.043798
19833,1986,3,1983,17553.41899
19824,1986,4,1982,139715.9133
19815,1986,5,1981,5504.376797
19852,1987,2,1985,243.5562764
19843,1987,3,1984,15904.82108
19834,1987,4,1983,53607.3604
19825,1987,5,1982,10198.83497
19862,1988,2,1986,36925.183
19853,1988,3,1985,4294.764697
19844,1988,4,1984,28762.85923
19835,1988,5,1983,2204.806177
19872,1989,2,1987,7329.702251
19863,1989,3,1986,46105.45843
19854,1989,4,1985,24832.09684
19845,1989,5,1984,4844.643359
19882,1990,2,1988,21746.08407
19873,1990,3,1987,16418.06849
19864,1990,4,1986,156458.1294
19855,1990,5,1985,5296.950169
19892,1991,2,1989,26513.58435
19883,1991,3,1988,30879.2206
19874,1991,4,1987,48928.42187
19865,1991,5,1986,12002.10303
19902,1992,2,1990,38186.48638
19893,1992,3,1989,35661.52642
19884,1992,4,1988,93026.026
19875,1992,5,1987,3240.03831
19912,1993,2,1991,399.0394
19903,1993,3,1990,47370.67881
19894,1993,4,1989,66764.11139
19885,1993,5,1988,5951.662539
19922,1994,2,1992,2056.366688
19913,1994,3,1991,9397.942492
19904,1994,4,1990,87241.32846
19895,1994,5,1989,2676.183125
19932,1995,2,1993,8089.955207
19923,1995,3,1992,11128.35651
19914,1995,4,1991,12966.94922
19905,1995,5,1990,4661.320586
19942,1996,2,1994,37466.17649
19933,1996,3,1993,17180.68243
19924,1996,4,1992,22989.95883
19915,1996,5,1991,943.8574121
19952,1997,2,1995,646.2230265
19943,1997,3,1994,44009.48145
19934,1997,4,1993,26526.58019
19925,1997,5,1992,2432.715342
19962,1998,2,1996,30984.93179
19953,1998,3,1995,23199.13462
19944,1998,4,1994,176409.0582
19935,1998,5,1993,4159.875337
19972,1999,2,1997,2050.193513
19963,1999,3,1996,49048.40591
19954,1999,4,1995,43244.61578
19945,1999,5,1994,14356.7848
19982,2000,2,1998,31296.87581
19973,2000,3,1997,19263.63138
19964,2000,4,1996,63204.50953
19955,2000,5,1995,3740.983281
19992,2001,2,1999,14362.86193
19983,2001,3,1998,41146.17858
19974,2001,4,1997,64563.11393
19965,2001,5,1996,10099.84555
20002,2002,2,2000,34826.54668
19993,2002,3,1999,25538.04327
19984,2002,4,1998,63644.49472
19975,2002,5,1997,2945.915321
20012,2003,2,2001,10330.76547
20003,2003,3,2000,42275.97656
19994,2003,4,1999,193613.7352
19985,2003,5,1998,12710.52276
20022,2004,2,2002,7917.515343
20013,2004,3,2001,25854.2458
20004,2004,4,2000,99471.97794
19995,2004,5,1999,17918.26091
20032,2005,2,2003,4596.703339
20023,2005,3,2002,17998.00917
20014,2005,4,2001,59239.80454
20005,2005,5,2000,11874.48295
20042,2006,2,2004,1064.415031
20033,2006,3,2003,23065.93697
20024,2006,4,2002,34607.60119
20015,2006,5,2001,3441.046805
20052,2007,2,2005,39818.36339
20043,2007,3,2004,14839.25923
20034,2007,4,2003,65099.23155
20025,2007,5,2002,2015.14583
20062,2008,2,2006,916.4620119
20053,2008,3,2005,25347.69057
20044,2008,4,2004,16134.46176
20035,2008,5,2003,2015.385661
20072,2009,2,2007,78721.67007
20063,2009,3,2006,13314.18257
20054,2009,4,2005,62878.09198
20045,2009,5,2004,1665.055381
20082,2010,2,2008,7218.000646
20073,2010,3,2007,82718.69142
20064,2010,4,2006,17088.77579
20055,2010,5,2005,7228.532139
20092,2011,2,2009,19024.1843
20083,2011,3,2008,19802.79715
20074,2011,4,2007,104669.3105
20065,2011,5,2006,1318.708061
20102,2012,2,2010,8058.746536
20093,2012,3,2009,15809.54461
20084,2012,4,2008,28400.31644
20075,2012,5,2007,3834.392409
20112,2013,2,2011,34636.07864
20103,2013,3,2010,18672.79141
20094,2013,4,2009,29144.6208
20085,2013,5,2008,864.5091475
20122,2014,2,2012,2419.151197
20113,2014,3,2011,15482.27716
20104,2014,4,2010,29375.47491
20095,2014,5,2009,2490.096733
20132,2015,2,2013,3511.73605
20123,2015,3,2012,12104.89353
20114,2015,4,2011,88200.91968
20105,2015,5,2010,2286.450742
20142,2016,2,2014,12804.12345
20133,2016,3,2013,24307.17494
20124,2016,4,2012,18758.11587
20115,2016,5,2011,3271.124452
20152,2017,2,2015,3404.673415
20143,2017,3,2014,20439.44967
20134,2017,4,2013,10290.90725
20125,2017,5,2012,791.4696701
